# ----------------------------------------
# Onerway Checkout
# 收银台全局数据-收银台平均加载时长
# 20240708-20240721
# ----------------------------------------

日期,20240715,20240715,20240720,20240720,20240716,20240716,20240717,20240717,20240714,20240714,20240710,20240710,20240718,20240718,20240719,20240719,20240721,20240721,20240709,20240709,20240713,20240713,20240708,20240708,20240712,20240712,20240711,20240711,合计,合计
国家/地区,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数
Italy,2220.4925634295714,340,2384.45158371267,326,2463.620298506716,430,2650.175321335904,366,2780.1957880434784,254,2740.4806513400385,339,2293.7739201303993,420,2239.5502787068003,331,2619.636265433642,234,2792.8964593282294,330,2606.700314465409,324,2740.0749999989366,319,2525.6376245847177,353,2619.683993261163,368,2538.8112791341564,3891
Australia,2695.8294223817693,337,2513.4386679000927,369,3183.652114061947,327,2763.1554913294794,360,2966.0295081967215,340,2944.906033519553,274,2741.530871886121,368,2889.2349601593623,338,2694.9331922116853,412,3195.7436154949783,239,2990.6744019138755,295,3232.1613095238095,242,2838.20914696814,298,2832.8918884676805,272,2866.847163302972,3472
Brazil,6098.352572347267,328,4972.9317487672415,358,4552.40149068323,269,4971.325264984658,334,5382.347959183674,341,6108.413652172463,326,5221.061066664,332,4018.5002453963193,259,6406.947524752475,521,5609.735897435898,266,3786.628679817906,238,5934.870708662992,404,5101.712583424112,382,5950.88052631579,384,5275.401256931532,4538
Netherlands,1733.5372421270358,311,1991.263821656051,313,2028.2962264161426,345,1720.573167539267,271,1837.6946949734747,262,4691.353930822327,244,26858.970674158427,323,4094.7493251533747,290,1758.3950142421652,263,2213.6159633173843,238,2127.925518341308,245,2421.358815435262,266,2186.9447297297297,246,2459.896393442623,229,4440.677860773197,3069
Romania,2075.279015240328,231,2167.130894308943,217,2017.2348837209304,294,2443.2087360594796,287,2328.7099056603774,176,2027.236410923277,183,1988.651711709009,286,1846.4300370828182,205,1824.2286764705882,190,2203.5655440414507,188,2232.6736377025036,186,2148.769850747761,165,2326.549384407661,193,2434.5929557997238,178,2143.287404247824,2287
Chile,3670.1004545454543,182,3107.1408602150536,80,3142.3645161254476,100,3174.8084142394823,107,3920.6258278145697,114,3660.6983002832862,144,4137.3065789473685,94,2995.695909090909,87,3382.49776119403,106,2964.3234200743495,108,4190.256084661376,77,3527.7629213483146,103,3166.1745454545458,86,3305.3078291814945,101,3461.6257675150882,1399
Belgium,2131.7908847238605,141,2138.046376811594,120,2082.2775981524246,130,2193.832211533654,127,2644.0662393162393,89,2194.517966903073,112,1974.6641558441556,117,2162.013649851632,107,2048.706688963211,109,2112.1724043715844,131,2560.021690140845,116,2711.7298245584793,110,2196.698746867168,104,2082.8201238513934,111,2217.4856262431413,1243
Czechia,2544.1,129,2882.486764702941,129,2294.4523900573618,134,2681.3714285693277,133,2558.0320512820513,137,2660.6910714285714,101,2605.4858156028367,150,2546.1875838926176,121,2545.2504926108372,126,2654.0746556473828,99,2622.1002044989773,136,2825.803943653521,113,3293.427123287671,121,2540.73075,113,2644.415534149737,1308
Mexico,3452.6104234527684,117,2646.7066210045664,123,3253.237222222222,109,3302.0079670302193,122,3056.452140077821,106,3289.7829479768784,127,3572.4086567164177,105,2725.0762048192773,120,2978.268620689655,101,2966.009724770642,96,2417.973665480427,93,4128.182986111111,106,2637.8835164835164,101,2731.8829090909094,92,3086.0737442710815,1369
Austria,1768.6921921921921,116,1716.5269320843092,119,1723.2431164241164,131,1768.423984526112,138,1702.2888888865248,120,2232.319498607242,107,1559.2235872235872,136,1614.4694677871148,111,1929.0814385150811,135,1918.6736585317074,100,1736.2259771666666,130,1899.7042492917847,93,1835.7021582733814,139,1955.6839999966664,88,1804.1523115151247,1346
